import time: self [us] | cumulative | imported package
import time:      2048 |       2048 |             pandas.errors
import time:      1232 |       1232 |               pandas.core.dtypes.generic
import time:      1476 |       2707 |             pandas.core.dtypes.base
import time:       963 |        963 |             pandas.core.dtypes.inference
import time:      4479 |      15225 |           pandas.core.dtypes.dtypes
import time:      1504 |       1504 |             pandas.core.dtypes.common
import time:      2073 |       3577 |           pandas.core.dtypes.missing
import time:      1184 |       1184 |             pandas.util._decorators
import time:       798 |        798 |                 pandas.io
import time:      1599 |       2396 |               pandas.io._util
import time:      2033 |       4429 |             pandas.core.dtypes.cast
import time:       790 |        790 |               pandas.core.dtypes.astype
import time:      1121 |       1910 |             pandas.core.dtypes.concat
import time:       651 |        651 |               pandas.core.array_algos
import time:      7927 |       7927 |                   numpy.ma.core
import time:      3231 |       3231 |                   numpy.ma.extras
import time:      1575 |      12733 |                 numpy.ma
import time:      1183 |       1183 |                 pandas.core.common
import time:      1688 |      15602 |               pandas.core.construction
import time:      1556 |      17808 |             pandas.core.array_algos.take
import time:      2272 |       2272 |               pandas.core.indexers.utils
import time:      1036 |       3308 |             pandas.core.indexers
import time:      2156 |      30793 |           pandas.core.algorithms
import time:      1392 |       1392 |               pandas.core.arrays.arrow.accessors
import time:       110 |        110 |                 unicodedata
import time:      1143 |       1143 |                 pandas.util._validators
import time:      1247 |       1247 |                 pandas.core.missing
import time:      2359 |       2359 |                     pandas._libs.ops
import time:       893 |        893 |                     pandas.core.roperator
import time:      1239 |       1239 |                     pandas.core.computation
import time:      2827 |       2827 |                         numexpr.interpreter
import time:      1344 |       1344 |                         numexpr.expressions
import time:      1501 |       1501 |                             numexpr.version
import time:      7092 |       8592 |                           numexpr.utils
import time:     14448 |      23040 |                         numexpr.necompiler
import time:     11719 |      38929 |                       pandas.core.computation.check
import time:      1195 |      40124 |                     pandas.core.computation.expressions
import time:       951 |        951 |                     pandas.core.ops.missing
import time:       988 |        988 |                     pandas.core.ops.dispatch
import time:       616 |        616 |                     pandas.core.ops.invalid
import time:      2148 |      49315 |                   pandas.core.ops.array_ops
import time:       794 |        794 |                   pandas.core.ops.common
import time:       938 |        938 |                   pandas.core.ops.docstrings
import time:       678 |        678 |                   pandas.core.ops.mask_ops
import time:      1392 |      53116 |                 pandas.core.ops
import time:      1286 |       1286 |                 pandas.core.arraylike
import time:       971 |        971 |                 pandas.core.arrays._arrow_string_mixins
import time:       797 |        797 |                 pandas.core.arrays._utils
